strain_slug,strain_category,strain_popularity
sfv-og,Hybrid,0.23781593054149275
kosher-kush,Indica,0.10724740040997514
lavender-haze,Sativa,0.001409806848185046
white-zombie,Hybrid,0.002582346790413313
sour-grape,Hybrid,0.02568552202857687
hong-kong,Hybrid,0.002803060191303341
afghanica,Hybrid,0.0009076838611602352
blue-og,Hybrid,0.012875868024421935
allen-wrench,Sativa,0.0103128336565865
cheese-quake,Hybrid,0.013960122606294194
island-sweet-skunk,Sativa,0.057106833562783316
blueberry-diesel,Hybrid,0.024215018995147063
purple-ice,Hybrid,0.007843602484129327
critical-mass,Indica,0.06702238309776776
lemon-wreck,Hybrid,0.003131371375127255
redwood-kush,Indica,0.004723266779046572
black-diesel,Sativa,0.006803490582435076
uw,Indica,0.0033713971985951594
waipi-o-hapa,Sativa,0.00016553505066752006
boggle-gum,Hybrid,0.0013904944256071688
citrus-kush,Hybrid,0.013604222247359028
larry-og,Hybrid,0.09769326906894812
acapulco-gold,Sativa,0.08678726814746966
hashberry,Indica,0.004193554616910509
green-hornet,Hybrid,0.0021988572563668924
east-coast-sour-diesel,Sativa,0.03677361150578959
moby-dick,Sativa,0.05806141902163268
boysenberry,Hybrid,0.0020471167932549984
qrazy-train,Hybrid,0.004381161007667032
brainstorm-haze,Sativa,0.0017022521043643314
dynamite,Indica,0.007625648000750425
sour-chees,Hybrid,0.0064227599658997795
lemon-thai,Sativa,0.011871622050372316
dairy-queen,Hybrid,0.008193985008042245
purple-arrow,Hybrid,0.005741307340651822
pandoras-box,Sativa,0.002551998697790934
fire-og,Hybrid,0.14268017800535782
goldwing,Sativa,0.0
bio-jesus,Hybrid,0.03191239885118675
violator-kush,Indica,0.024135010387324428
true-og,Indica,0.07795597319435746
pitbull,Indica,0.0034486468889066684
double-diesel,Sativa,0.0040142249786873615
diamond-og,Indica,0.05564184836437575
crimea-blue,Hybrid,0.0007862914906707205
purple-dream,Hybrid,0.02132919127850996
trident,Hybrid,0.002772712098680961
master-yoda,Hybrid,0.006988338055680474
bruce-banner-3,Hybrid,0.021762341327756642
tangerine-dream,Hybrid,0.08420216243954523
bio-diesel,Hybrid,0.016092765842394077
black-ice,Indica,0.005520593939761795
banana-candy,Indica,0.002540963027746433
wonder-haze,Hybrid,0.00020691881333440013
alien-dawg,Indica,0.03814203459130775
grapefruit-diesel,Hybrid,0.009443774640582022
kushage,Hybrid,0.006833838675057454
mad-dawg,Hybrid,0.0035865927644629352
killing-fields,Sativa,0.0010428708192053763
pure-power-plant,Hybrid,0.012158549471529351
earthquake,Hybrid,0.00127737880765103
lime-green-skunk,Hybrid,0.005561977702428675
ice-cream,Hybrid,0.09751669834823608
django,Sativa,0.008251922275775876
mango-dream,Sativa,0.004036296318776365
green-haze,Sativa,0.0034127809612620394
julius-caesar,Hybrid,0.012920010704599943
blue-diesel,Hybrid,0.07498186011736435
black-diamond,Indica,0.12233316136080848
kaboom,Sativa,0.002797542356281089
santa-maria,Sativa,0.005150898993270999
lambo-og,Hybrid,0.00788222732928508
cannatonic,Hybrid,0.061849412764407766
sierra-mist,Hybrid,0.0004165965441799256
mazar-x-blueberry-og,Hybrid,0.07904022777622972
pink-pez,Hybrid,0.0007393898929815897
frosty,Indica,0.02113330813522006
god-bud,Indica,0.04177828787097095
hog,Indica,0.009984522472762587
super-kush,Indica,0.005950985071497347
nuggetry-og,Indica,0.0
green-ribbon,Hybrid,0.009162365054447235
belladonna,Hybrid,0.002576828955391063
white-kush,Indica,0.0046073922435793105
blue-hawaiian,Hybrid,0.013871837245938184
deathstar-og,Indica,0.010141780770896731
hawaiian-diesel,Sativa,0.00391490394828685
chocolate-chunk,Indica,0.007272506559326383
deadhead-og,Hybrid,0.04162930632537018
willys-wonder,Indica,0.016465219706395997
purple-berry,Indica,0.009943138710095709
malawi,Sativa,0.007948441349552091
hawaiian-punch,Sativa,0.030215664581844662
purple-ak-47,Hybrid,0.003912145030775725
alien-og,Hybrid,0.1797351990972822
ocd,Sativa,0.0039893947210872345
gsc,Hybrid,0.6438927222514974
trinity,Sativa,0.010009352730362716
blue-lights,Indica,0.006486215068655662
candy-jack,Sativa,0.0212464237531762
jacks-cleaner,Sativa,0.004670847346335192
blue-bastard,Indica,0.0007835325731595951
strawberry-dream,Hybrid,0.004367366420111405
jack-haze,Hybrid,0.011620560556859913
green-monster,Hybrid,0.003614181939574189
hawaiian,Sativa,0.040365722105274775
lemon-jack,Sativa,0.015954819966837813
grape-krush,Indica,0.0061192790396759926
edelweiss,Indica,0.0019726260204546145
cadillac-purple,Indica,0.004640499253712813
black-velvet,Hybrid,0.0011504686021392644
jack-widow,Hybrid,0.0008166395832930991
hawaiian-haze,Sativa,0.029743889687442238
jane-doe,Hybrid,0.0026651143157470736
outer-space,Sativa,0.026209716355690683
dopium,Hybrid,0.0035948695169963117
ace-of-spades,Indica,0.013604222247359028
matsu,Indica,0.00040556087413542416
snow-white,Hybrid,0.01709149398142145
purple-og-kush,Indica,0.038616568403221314
blue-ivy,Hybrid,0.0017739839596535906
popcorn-kush,Indica,0.012233040244329734
wonka-s-bubbilicious,Hybrid,0.0010980491694278832
godfather-og,Indica,0.04983708592096805
gumbo,Indica,0.0107266712832553
la-og,Indica,0.008158119080397616
snoop-s-dream,Hybrid,0.01948623438107824
trifecta,Hybrid,0.001252548550050902
apollo-13,Hybrid,0.011962666328239452
thai-haze,Sativa,0.0015587883937858145
raskal-og,Hybrid,0.01921310154747683
the-white,Hybrid,0.06433519744193167
dutch-hawaiian,Sativa,0.04332604059471226
rainbow,Hybrid,0.0612010671492933
white-dawg,Hybrid,0.009686559381561051
grand-hustle,Hybrid,0.0005710959248029443
og-diesel-kush,Hybrid,0.007987066194707845
zombie-og,Indica,0.02006560705841456
cali-kush,Hybrid,0.04806861979633671
jesus-og,Indica,0.02310041632065243
millennium,Hybrid,0.00043590896675780287
black-mamba,Indica,0.06984475571164897
q3,Sativa,0.0
holy-grail-kush,Hybrid,0.056246051299312205
space-dawg,Indica,0.002532686275213057
cali-gold,Hybrid,0.008514019439332783
sour-tsunami,Hybrid,0.03066260921864697
liberty-haze,Hybrid,0.03260212822896808
glass-slipper,Hybrid,0.009578961598627162
cinex,Sativa,0.025721387956221496
presidential-og,Indica,0.03716537779236938
verde-electric,Hybrid,0.0012801377251621556
master-jedi,Indica,0.002102295143477505
goldberry,Indica,0.002334044214412033
afghan-skunk,Indica,0.006433795635944282
black-tuna,Hybrid,0.020719470508551264
humboldt,Hybrid,0.009945897627606832
duke-nukem,Hybrid,0.011750229679882802
wonder-woman,Hybrid,0.013452481784247131
blue-boy,Hybrid,0.002651319728191447
tangie,Sativa,0.17190263228319735
3-kings,Hybrid,0.03026808401455605
alien-walker,Hybrid,0.0032665583331723965
amnesia,Sativa,0.08393178852345494
super-sour-widow,Hybrid,0.002397499317167916
animal-cookies,Hybrid,0.1770700847815351
ghost-og,Hybrid,0.1024496428581282
jr,Indica,0.05038059267065974
platinum-gsc,Hybrid,0.1725068352181338
dark-star,Indica,0.022209285964558945
albert-walker,Hybrid,0.004844659149536089
stevie-wonder,Hybrid,0.008621617222266672
thin-mint,Hybrid,0.1435713083614513
confidential-cheese,Indica,0.002480266842501676
pink-kush,Hybrid,0.1051616587715644
quebec-gold,Hybrid,0.0022650712766339
blue-magoo,Hybrid,0.024493669663770718
black-cherry-soda,Hybrid,0.03648668408463256
sour-power,Hybrid,0.00861058155222217
freezeland,Indica,0.0037521278151304563
headbanger,Hybrid,0.028811375568681876
strawberry,Sativa,0.0401836335495405
bc-big-bud,Hybrid,0.009319623352581382
jean-guy,Hybrid,0.025555852905553976
xxx-420,Indica,0.0017850196296980913
flowerbomb-kush,Indica,0.004099751421532248
erez,Indica,0.0021216075660553824
alaska,Sativa,0.01089220633392282
el-na,Hybrid,0.00025382041102353084
eran-almog,Indica,0.0044832409555786695
midnight,Hybrid,0.020495998190150112
rafael,Sativa,0.0005986850999141976
avi-dekel,Hybrid,0.0033824328686396605
little-devil,Hybrid,0.0011146026744946352
dorit,Indica,0.0
gog-magog,Indica,0.0012718609726287795
or,Hybrid,0.0017739839596535906
jasmin,Hybrid,0.0010677010768055048
blue-god,Indica,0.01845715814942849
dr-grinspoon,Sativa,0.0105087167998764
dreadlock,Hybrid,0.0003503825239129176
edi-pure-dried-pineapples-63984,Edible,0.0
lowryder,Hybrid,0.0077801473813734435
endless-sky,Indica,0.006902811612835588
lethal-purple,Hybrid,0.00036417711146854417
gods-treat,Indica,0.001837439062409473
manitoba-poison,Hybrid,0.0005628191722695684
sapphire-star,Hybrid,0.0036059051870408134
blue-venom,Hybrid,0.005048819045359362
critical-bilbo,Hybrid,0.00822709201817575
pennywise,Indica,0.034541647239289194
thai,Sativa,0.033523606677683934
sour-cream,Hybrid,0.004579803068468056
blue-diamond,Indica,0.014302228377673738
johnnys-tonic,Sativa,0.0011311561795613876
crystal-coma,Sativa,0.02175130565771214
candyland,Sativa,0.17359936655253946
loud-dream,Hybrid,0.005658539815318062
supernova,Hybrid,0.0036886727123745726
acdc,Hybrid,0.07910644179649673
og-shark,Hybrid,0.030361887209934314
red-congolese,Sativa,0.02163267220473375
rockstar-master-kush,Indica,0.0004772927294246829
head-cheese,Hybrid,0.009457569228137648
nordle,Indica,0.0030348092622378684
superstar,Hybrid,0.0011146026744946352
blackwater,Indica,0.04988950535367944
xxx-og,Indica,0.13787414370097748
donna-og,Hybrid,0.0014456727758296755
cherry-kola,Indica,0.006839356510079706
mossimo-og,Indica,0.00039176628657979753
paris-og,Indica,0.03038671746753444
snow-monster,Indica,0.008825777118089946
alpha-og,Hybrid,0.004485999873089794
guava-chem,Hybrid,0.0021850626688112653
redding-og,Hybrid,0.0
nexus-og,Indica,0.0
cherry-limeade,Hybrid,0.013546284979625392
original-glue,Hybrid,1.0
strawberry-banana,Hybrid,0.18149814738689127
berry-noir,Indica,0.0
big-sky-og,Hybrid,0.0010732189118277556
og-eddy-lepp,Indica,0.002532686275213057
red-eye-og,Indica,0.0029272114793039805
guava-kush,Hybrid,0.03247521802345631
kimbo-kush,Hybrid,0.03910765572020162
white-fire-og,Hybrid,0.15744590452490062
chem-scout,Indica,0.0060171990917643565
kushashima,Hybrid,0.0
remedy,Indica,0.03003081710859927
tangerine-haze,Hybrid,0.015066448528255453
alice-in-wonderland,Sativa,0.005291603786338393
venom-og,Hybrid,0.11257487012395816
haze-wreck,Sativa,0.001630520249075073
digweed,Indica,0.0012663431376065287
barbara-bud,Indica,0.002094018390944129
haoma,Indica,0.0
sugar-plum,Sativa,0.0041907956993993845
rockstar,Indica,0.04857626061838377
